Continent,Average Mortality Rate (%),Average Air Quality Index
Asia,5.933870967741936,108.19354838709677
North America,7.666923076923076,35.46153846153846
Africa,7.438125,83.8125
Europe,10.616875000000002,42.625
South America,5.628333333333334,43.333333333333336
Oceania,6.6066666666666665,10.333333333333334
